epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,a1_par,a2_par,b1_par,b2_par,S_ckpt,F12_ckpt,G12_ckpt,a1_ckpt,a2_ckpt,b1_ckpt,b2_ckpt,coverage_ckpt,reject_rate_ckpt,conflict_rate_ckpt,wrong_exclusive_rate_ckpt,selective_accuracy_ckpt,conservative_accuracy_ckpt
5,0.311308890581131,0.394137978553772,0.25,0.3699866804795027,0.3699866804795027,0.0,0.25,0.7142857142857143,0.75,0.0,-0.05351027397260274,0.0,0.21404109589041095,0.0,0.625,0.75,0.125,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.7142857142857143,0.4166666666666667
10,0.2950572371482849,0.498678594827652,0.25,0.3867474539125951,0.3867474539125951,0.0,0.25,0.8571428571428571,0.75,0.0,-0.12488898756660748,0.0,0.4995559502664299,0.0,0.5,0.75,0.375,0.4166666666666667,0.08333333333333333,0.5,0.08333333333333333,0.8,0.3333333333333333
15,0.21981102228164673,0.4875178635120392,0.25,0.44409903408460094,0.44409903408460094,0.0,1.0,0.2857142857142857,0.0,0.0,0.37462537462537465,0.37462537462537465,0.0,0.75,0.25,0.0,0.25,0.5,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.8333333333333334,0.4166666666666667
20,0.49661532044410706,0.6182064414024353,0.25,0.41339396444811916,0.41339396444811916,0.0,0.75,0.2857142857142857,0.25,0.0,0.37462537462537465,0.37462537462537465,0.0,0.75,0.25,0.0,0.125,0.5,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.4166666666666667
25,0.4948967397212982,0.4086458086967468,0.25,0.544992127891486,0.544992127891486,0.0,0.75,0.42857142857142855,0.25,0.0,0.6662225183211193,0.6662225183211193,0.0,1.0,0.5,0.0,0.125,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8888888888888888,0.6666666666666666
30,0.6248680353164673,0.23355765640735626,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.25,0.0,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
35,0.593704342842102,0.31938499212265015,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.25,0.0,0.7687576875768758,0.7687576875768758,0.0,1.0,0.625,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
40,0.44210025668144226,0.4213120639324188,0.25,0.8328475056217207,0.8328475056217207,0.0,1.0,0.7142857142857143,0.0,0.0,0.7687576875768758,0.7687576875768758,0.0,1.0,0.625,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
45,0.47440946102142334,0.19633090496063232,0.25,0.7995025317580172,0.7995025317580172,0.0,0.75,0.8571428571428571,0.25,0.0,0.8566533409480298,0.8566533409480298,0.0,1.0,0.75,0.0,0.25,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.8333333333333334
50,0.42931947112083435,0.1587117314338684,0.25,0.9225801491504574,0.9225801491504574,0.0,1.0,0.8571428571428571,0.0,0.0,0.8566533409480298,0.8566533409480298,0.0,1.0,0.75,0.0,0.25,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.8333333333333334
55,0.3036981225013733,0.23072278499603271,0.25,0.9225801491504574,0.9225801491504574,0.0,1.0,0.8571428571428571,0.0,0.0,0.8566533409480298,0.8566533409480298,0.0,1.0,0.75,0.0,0.125,0.9166666666666666,0.0,0.08333333333333333,0.08333333333333333,0.9090909090909091,0.8333333333333334
60,0.27550065517425537,0.24564628303050995,0.25,0.9225801491504574,0.9225801491504574,0.0,1.0,0.8571428571428571,0.0,0.0,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
65,0.27860182523727417,0.20400631427764893,0.25,0.9225801491504574,0.9225801491504574,0.0,1.0,0.8571428571428571,0.0,0.0,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
70,0.29643741250038147,0.2000061720609665,0.25,0.9225801491504574,0.9225801491504574,0.0,1.0,0.8571428571428571,0.0,0.0,0.8566533409480298,0.8566533409480298,0.0,1.0,0.75,0.0,0.125,0.9166666666666666,0.0,0.08333333333333333,0.08333333333333333,0.9090909090909091,0.8333333333333334
75,0.22454705834388733,0.4064761996269226,0.25,0.8328475056217207,0.8328475056217207,0.0,1.0,0.7142857142857143,0.0,0.0,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.0,0.125,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8888888888888888,0.6666666666666666
80,0.2728392779827118,0.27218103408813477,0.25,0.8328475056217207,0.8328475056217207,0.0,1.0,0.7142857142857143,0.0,0.0,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
85,0.28674301505088806,0.16019712388515472,0.25,0.9225801491504574,0.9225801491504574,0.0,1.0,0.8571428571428571,0.0,0.0,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
90,0.2653018534183502,0.10954060405492783,0.25,0.9225801491504574,0.9225801491504574,0.0,1.0,0.8571428571428571,0.0,0.0,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.0,0.125,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9,0.75
