epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,a1_par,a2_par,b1_par,b2_par,S_ckpt,F12_ckpt,G12_ckpt,a1_ckpt,a2_ckpt,b1_ckpt,b2_ckpt,coverage_ckpt,reject_rate_ckpt,conflict_rate_ckpt,wrong_exclusive_rate_ckpt,selective_accuracy_ckpt,conservative_accuracy_ckpt
5,0.1830388903617859,0.41479700803756714,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333
10,0.144708052277565,0.49557289481163025,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.0,0.14285714285714285,0.15584465434764833,0.249500998003992,0.37462537462537465,0.25,0.25,0.75,0.25,0.25,0.3333333333333333,0.4166666666666667,0.0,1.0,0.25
15,0.2048358917236328,0.550632119178772,0.25,0.544992127891486,0.544992127891486,0.0,0.75,0.42857142857142855,0.0,0.2857142857142857,0.15584465434764833,0.249500998003992,0.37462537462537465,0.25,0.25,0.75,0.25,0.3333333333333333,0.25,0.4166666666666667,0.08333333333333333,0.75,0.25
20,0.22468066215515137,0.4994773864746094,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.07256706059897548,0.16622340425531915,0.37462537462537465,0.25,0.125,0.75,0.25,0.25,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.6666666666666666,0.16666666666666666
25,0.18277060985565186,0.6396574974060059,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.07256706059897548,0.16622340425531915,0.37462537462537465,0.25,0.125,0.75,0.25,0.25,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.6666666666666666,0.16666666666666666
30,0.15290391445159912,0.4806542992591858,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.15584465434764833,0.249500998003992,0.37462537462537465,0.25,0.25,0.75,0.25,0.3333333333333333,0.25,0.4166666666666667,0.08333333333333333,0.75,0.25
35,0.21696771681308746,0.5791536569595337,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.15584465434764833,0.249500998003992,0.37462537462537465,0.25,0.25,0.75,0.25,0.3333333333333333,0.25,0.4166666666666667,0.08333333333333333,0.75,0.25
40,0.2594899535179138,0.7552070617675781,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.22202486678507996,0.22202486678507996,0.0,1.0,0.125,0.0,0.125,0.5,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.4166666666666667
45,0.3589949905872345,0.7340208888053894,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.14976038338658149,0.19968051118210864,0.19968051118210864,0.5,0.125,0.5,0.125,0.3333333333333333,0.4166666666666667,0.25,0.08333333333333333,0.75,0.25
50,0.24947495758533478,0.6657558083534241,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.14976038338658149,0.19968051118210864,0.19968051118210864,0.5,0.125,0.5,0.125,0.3333333333333333,0.4166666666666667,0.25,0.08333333333333333,0.75,0.25
55,0.24685218930244446,0.7311967611312866,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.21404109589041095,0.21404109589041095,0.0,0.75,0.125,0.0,0.125,0.5,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333
60,0.29965493083000183,0.7467917799949646,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.33288948069241014,0.33288948069241014,0.0,0.5,0.25,0.25,0.0,0.5,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333
65,0.25897130370140076,0.7086057066917419,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.15812466011827886,0.19968051118210864,0.16622340425531915,0.5,0.125,0.25,0.125,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.6,0.25
70,0.24482831358909607,0.5130537152290344,0.25,0.5328360197149328,0.5328360197149328,0.0,0.5,0.5714285714285714,0.0,0.14285714285714285,0.28296935289688296,0.33288948069241014,0.19968051118210864,0.25,0.5,0.5,0.125,0.5833333333333334,0.16666666666666666,0.25,0.16666666666666666,0.7142857142857143,0.4166666666666667
75,0.189885675907135,0.4483497142791748,0.25,0.544992127891486,0.544992127891486,0.0,0.75,0.42857142857142855,0.0,0.2857142857142857,0.4495803717049724,0.4995004995004996,0.19968051118210864,0.5,0.5,0.5,0.125,0.5833333333333334,0.16666666666666666,0.25,0.08333333333333333,0.8571428571428571,0.5
80,0.2725380063056946,0.5126837491989136,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.28296935289688296,0.33288948069241014,0.19968051118210864,0.5,0.25,0.5,0.125,0.4166666666666667,0.3333333333333333,0.25,0.08333333333333333,0.8,0.3333333333333333
85,0.2890670895576477,0.5995497703552246,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.33288948069241014,0.33288948069241014,0.0,0.5,0.25,0.25,0.0,0.5,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333
90,0.1929723173379898,0.3799566328525543,0.25,0.4662935656292261,0.5328360197149328,0.2661698163428267,0.5,0.5714285714285714,0.25,0.2857142857142857,0.2630788161610079,0.3567351598173516,0.37462537462537465,0.25,0.625,0.75,0.25,0.5833333333333334,0.0,0.4166666666666667,0.08333333333333333,0.8571428571428571,0.5
95,0.26196524500846863,0.48814821243286133,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.4995004995004996,0.4995004995004996,0.0,0.5,0.5,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.75,0.5
