epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,a1_par,a2_par,b1_par,b2_par,S_ckpt,F12_ckpt,G12_ckpt,a1_ckpt,a2_ckpt,b1_ckpt,b2_ckpt,coverage_ckpt,reject_rate_ckpt,conflict_rate_ckpt,wrong_exclusive_rate_ckpt,selective_accuracy_ckpt,conservative_accuracy_ckpt
5,0.4463965892791748,0.6347357034683228,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.0,0.14285714285714285,0.4995559502664299,0.4995559502664299,0.0,0.75,0.375,0.25,0.0,0.5,0.4166666666666667,0.08333333333333333,0.0,1.0,0.5
10,0.36525672674179077,0.5281075239181519,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.0,0.14285714285714285,0.4995559502664299,0.4995559502664299,0.0,0.75,0.375,0.25,0.0,0.5,0.4166666666666667,0.08333333333333333,0.0,1.0,0.5
15,0.46121513843536377,0.7042098045349121,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.0,0.14285714285714285,0.4995559502664299,0.4995559502664299,0.0,0.75,0.375,0.25,0.0,0.5,0.4166666666666667,0.08333333333333333,0.0,1.0,0.5
20,0.6401912569999695,0.673209547996521,0.25,0.5877512636652169,0.5877512636652169,0.0,0.5,0.7142857142857143,0.0,0.0,0.4995559502664299,0.4995559502664299,0.0,0.75,0.375,0.25,0.0,0.5,0.4166666666666667,0.08333333333333333,0.0,1.0,0.5
25,0.4390815794467926,0.5655674934387207,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.14285714285714285,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.25,0.0,0.75,0.16666666666666666,0.08333333333333333,0.0,1.0,0.75
30,0.3659123182296753,0.4656342566013336,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.14285714285714285,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.6666666666666666
35,0.17079386115074158,0.5748397707939148,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.14285714285714285,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.6666666666666666
40,0.2121456116437912,0.4568619728088379,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.0,0.14285714285714285,0.639766823354775,0.6813226744186047,0.16622340425531915,0.75,0.625,0.25,0.125,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666
45,0.2991965711116791,0.46303531527519226,0.25,0.8566533409480298,0.8566533409480298,0.0,0.75,1.0,0.0,0.0,0.8071955719557196,0.8071955719557196,0.0,0.75,0.875,0.25,0.0,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,1.0,0.8333333333333334
50,0.3286179304122925,0.44167083501815796,0.25,0.7995025317580172,0.7995025317580172,0.0,0.75,0.8571428571428571,0.0,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.5,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666
55,0.3547421097755432,0.3925958573818207,0.25,0.8566533409480298,0.8566533409480298,0.0,0.75,1.0,0.0,0.0,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.6666666666666666
60,0.3499990999698639,0.410783588886261,0.25,0.8566533409480298,0.8566533409480298,0.0,0.75,1.0,0.0,0.0,0.7495003331112592,0.7495003331112592,0.0,0.75,0.75,0.25,0.0,0.75,0.16666666666666666,0.08333333333333333,0.0,1.0,0.75
65,0.2929951548576355,0.4157053828239441,0.25,0.7995025317580172,0.7995025317580172,0.0,0.75,0.8571428571428571,0.0,0.0,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.6666666666666666
70,0.23469479382038116,0.45413777232170105,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.0,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.6666666666666666
75,0.31151074171066284,0.40681368112564087,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.38854351687388994,0.38854351687388994,0.0,0.25,0.875,0.75,0.0,0.6666666666666666,0.08333333333333333,0.25,0.0,1.0,0.6666666666666666
80,0.231882706284523,0.42704349756240845,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.6666666666666666
85,0.2444271296262741,0.33869001269340515,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.37462537462537465,0.37462537462537465,0.0,0.25,0.75,0.75,0.0,0.5833333333333334,0.16666666666666666,0.25,0.0,1.0,0.5833333333333334
90,0.15930652618408203,0.3625299632549286,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.37462537462537465,0.37462537462537465,0.0,0.25,0.75,0.75,0.0,0.6666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.875,0.5833333333333334
95,0.1613503098487854,0.4047013819217682,0.25,0.7995025317580172,0.7995025317580172,0.0,0.75,0.8571428571428571,0.0,0.0,0.7687576875768758,0.7687576875768758,0.0,1.0,0.625,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.75
100,0.17715150117874146,0.35906851291656494,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.6359011627906977,0.6359011627906977,0.0,0.5,0.875,0.5,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,1.0,0.75
105,0.20420008897781372,0.357632040977478,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.6359011627906977,0.6359011627906977,0.0,0.5,0.875,0.5,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,1.0,0.75
110,0.2233148217201233,0.39135506749153137,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.5,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666
115,0.167439803481102,0.3088250160217285,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.5,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666
120,0.17324614524841309,0.321749210357666,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.5,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666
125,0.20029217004776,0.5027052164077759,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.0,0.7687576875768758,0.7687576875768758,0.0,1.0,0.625,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.75
130,0.19412678480148315,0.4984009265899658,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.0,0.7687576875768758,0.7687576875768758,0.0,1.0,0.625,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.75
135,0.13140304386615753,0.2664135694503784,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.6359011627906977,0.6359011627906977,0.0,0.5,0.875,0.5,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,1.0,0.75
140,0.1454344391822815,0.2867162227630615,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.6359011627906977,0.6359011627906977,0.0,0.5,0.875,0.5,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,1.0,0.75
145,0.1567920297384262,0.2739628255367279,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.6359011627906977,0.6359011627906977,0.0,0.5,0.875,0.5,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,1.0,0.75
150,0.11074629426002502,0.41427817940711975,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.0,0.7687576875768758,0.7687576875768758,0.0,1.0,0.625,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.75
155,0.13010424375534058,0.43322810530662537,0.25,0.7312079555425562,0.7312079555425562,0.0,0.75,0.7142857142857143,0.0,0.0,0.7687576875768758,0.7687576875768758,0.0,1.0,0.625,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.75
160,0.1006622314453125,0.26308897137641907,0.25,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.25,0.0,0.6359011627906977,0.6359011627906977,0.0,0.5,0.875,0.5,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,1.0,0.75
165,0.13336999714374542,0.428844690322876,0.25,0.7995025317580172,0.7995025317580172,0.0,0.75,0.8571428571428571,0.0,0.0,0.6813226744186047,0.6813226744186047,0.0,0.75,0.625,0.25,0.0,0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.6666666666666666
