dataset,method,q,model,fold,F12,G12,a1,a2,b1,b2,n1,n2,coverage,beta_pos,beta_neg,S_val,S_test,t_reducer,t_model,unary_device,n_selected,selected_indices
DS-B,PCA,15,UnaryMLP,1,0.11218141993156934,0.19690503570954865,0.19601328903654486,0.07897664071190211,0.18604651162790697,0.21023359288097887,301,899,0.21250000596046448,0.9862726926803589,0.9814780950546265,0.08728129436860939,0.06295516100418218,0.0010558220092207193,0.0,cuda:0,,
DS-B,PCA,15,UnaryMLP,2,0.12143169792150538,0.17536730542825174,0.1461794019933555,0.10456062291434928,0.17275747508305647,0.17908787541713014,301,899,0.18666666746139526,0.9969017505645752,0.9741030931472778,0.11430066999627277,0.07758987156444244,0.0010948190465569496,0.0,cuda:0,,
DS-B,PCA,15,UnaryMLP,3,0.10045768689640164,0.10541729887117608,0.10299003322259136,0.09899888765294772,0.10299003322259136,0.10901001112347053,301,899,0.1783333420753479,1.0196895599365234,0.9951930046081543,0.08334903718749319,0.07410336217860762,0.0010974849574267864,0.0,cuda:0,,
DS-B,PCA,15,UnaryMLP,4,0.15426525234406016,0.14001248801681832,0.17275747508305647,0.14015572858731926,0.132890365448505,0.14905450500556172,301,899,0.20250000059604645,1.016971468925476,0.9746952056884766,0.1077025604902404,0.11926213033985558,0.0010875799925997853,0.0,cuda:0,,
DS-B,PCA,15,UnaryMLP,5,0.0929106628659625,0.13597652958815729,0.06291390728476821,0.18040089086859687,0.152317880794702,0.12360801781737193,302,898,0.22500000894069672,1.0292091369628906,0.9732643365859985,0.0926218384713666,0.05891653046892318,0.0010704599553719163,0.0,cuda:0,,
DS-B,PLS,5,UnaryMLP,1,0.3439399772306924,0.36001240230294773,0.3289036544850498,0.3615127919911012,0.3687707641196013,0.3526140155728587,301,899,0.4150000214576721,0.9684545397758484,1.0021408796310425,0.2737959796269288,0.25393687665495546,0.011615986935794353,0.0,cuda:0,,
DS-B,PLS,5,UnaryMLP,2,0.36239289308490963,0.3526594574857641,0.3588039867109635,0.3670745272525028,0.34219269102990035,0.36484983314794217,301,899,0.40416666865348816,0.9514142274856567,1.0098837614059448,0.2765072164901443,0.27422802871346863,0.002858766005374491,0.0,cuda:0,,
DS-B,PLS,5,UnaryMLP,3,0.38664213366913,0.30133784425919596,0.3654485049833887,0.41156840934371525,0.31561461794019935,0.289210233592881,301,899,0.4766666889190674,0.9619988203048706,1.0009337663650513,0.3316604134255054,0.311307672604331,0.002826207084581256,0.0,cuda:0,,
DS-B,PLS,5,UnaryMLP,4,0.42051652526410016,0.2630312275282454,0.4119601328903654,0.43047830923248054,0.2591362126245847,0.26807563959955505,301,899,0.503333330154419,0.9815621972084045,1.004567265510559,0.3792959299347056,0.3547587183820388,0.002809135941788554,0.0,cuda:0,,
DS-B,PLS,5,UnaryMLP,5,0.35744419222246093,0.2737548879206382,0.4470198675496689,0.2984409799554566,0.28807947019867547,0.26169265033407574,302,898,0.4675000011920929,0.9636794924736023,0.98970627784729,0.25254358363612556,0.2890054702423014,0.002874355996027589,0.0,cuda:0,,
