dataset,method,q,model,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,dAUC_mean,dAUC_std,dPR_mean,dPR_std,t_red_med,t_mod_med
DS-B,HSIC_Lasso,10,KNN,0.8459383379670126,0.012688396000882429,0.6764993574802409,0.026963026620921524,0.0500017404028386,0.0174457579259522,0.10437941212874409,0.02315442648177877,0.14844265498686582,0.002395218936726451
DS-B,HSIC_Lasso,10,MLP,0.9601296954124015,0.005416608646303842,0.9085177245949136,0.0138725238610852,0.02226524510083989,0.007077305644786651,0.043531625431339815,0.01757801728158033,0.14844265498686582,8.694871752988547
DS-B,HSIC_Lasso,10,SVM_rbf,0.917114472867598,0.005206028332537461,0.8500060225898721,0.010157400561103253,0.0031412485321792305,0.0038627653273382166,0.00010670212264991541,0.007569613616851639,0.14844265498686582,0.6752318410435691
DS-B,HSIC_Lasso,10,ShrinkageLDA,0.8486762860068694,0.008329629265023583,0.7190623975081076,0.01140806852076558,0.0014772168500625682,0.0019332687155226211,0.00027324099278620563,0.005910742346601386,0.14844265498686582,0.0030430490151047707
DS-B,HSIC_Lasso,10,GaussianNB,0.7881679060261165,0.022325098777318933,0.5910008867358224,0.02762560997101546,-0.0006350518759208335,0.01872649103209018,0.003985146662661809,0.016611784500856822,0.14844265498686582,0.0007246190216392279
DS-B,HSIC_Lasso,10,LogRegL2,0.8481857202229252,0.008435378929762271,0.720160727240233,0.012553733184608484,-0.0009843809323279774,0.002147686286125749,-0.013594837048350118,0.0055289527878294165,0.14844265498686582,0.06713674089405686
DS-B,HSIC_Lasso,10,SVM_linear,0.8429540173315561,0.009350080828999607,0.7278051536097532,0.013920087134429148,-0.0011617450573272459,0.003575095792147253,-0.014882429437510392,0.0060992770580586735,0.14844265498686582,0.915474766981788
DS-B,HSIC_Lasso,10,HGBT,0.9468810093344778,0.010604497718140758,0.883769595622625,0.01398944084197714,-0.011029811179846893,0.00678875225661921,-0.022065602032418207,0.008770473461246653,0.14844265498686582,0.28751688601914793
DS-B,HSIC_Lasso,10,QDA,0.8906095845157157,0.013057912463795559,0.7724523188892621,0.018210457328656122,-0.020375223168722978,0.005782619827130424,-0.05001055836754664,0.0073824747728301375,0.14844265498686582,0.0012504949700087309
DS-B,HSIC_Lasso,15,KDEBayes,0.7783489910310866,0.018843111624602248,0.57746056445713,0.017599286253037985,0.0641253207334739,0.01090504593880762,0.13294570206548245,0.013082703826982003,0.24535758199635893,0.0031630239682272077
DS-B,HSIC_Lasso,15,MLP,0.9408539548701713,0.0014678065208615601,0.8721908577692439,0.004721217587797116,0.002989504558609646,0.004467095284678818,0.007204758605670025,0.0102038793502688,0.24535758199635893,5.973887754022144
DS-B,HSIC_Lasso,15,ShrinkageLDA,0.8490906121196888,0.009709189929127355,0.7137072284124677,0.012838116785292161,0.0018915429628819425,0.002369321689605905,-0.005081928102853595,0.00639604504900473,0.24535758199635893,0.0034947680542245507
DS-B,HSIC_Lasso,15,GaussianNB,0.7906362451089085,0.027915798283801533,0.589460956477244,0.02914192919728452,0.0018332872068711036,0.024773483653617926,0.0024452164040833723,0.016430586491908244,0.24535758199635893,0.0007824739441275597
DS-B,HSIC_Lasso,15,LogRegL2,0.847808860048272,0.009142496758518723,0.7223304887144757,0.015810091365088444,-0.0013612411069811258,0.0019982989983844926,-0.011425075574107347,0.008663830304046686,0.24535758199635893,0.06806120194960386
DS-B,HSIC_Lasso,15,SVM_linear,0.8424349812993542,0.010095673335532065,0.730014941867649,0.017491429988117,-0.0016807810895290043,0.0031639023499237784,-0.012672641179614596,0.009996592728765092,0.24535758199635893,1.141844903002493
DS-B,HSIC_Lasso,15,KNN,0.790422768683462,0.02228935604633513,0.5649488064680412,0.021894999279870875,-0.005513828880711946,0.016263990955816824,-0.0071711388834554855,0.014606913824917486,0.24535758199635893,0.0029636239632964134
DS-B,HSIC_Lasso,15,SVM_rbf,0.9012452953971355,0.009727030674373593,0.8260928861343226,0.015660178368601084,-0.012727928938283317,0.0058681499315434696,-0.02380643433289962,0.009655889971644882,0.24535758199635893,0.8215944829862565
DS-B,HSIC_Lasso,15,HGBT,0.9417100892124612,0.011600323754120723,0.8723029896291277,0.01799124098917897,-0.016200731301863523,0.007714233602090413,-0.03353220802591557,0.010362384770094837,0.24535758199635893,0.2927604620344937
DS-B,HSIC_Lasso,15,QDA,0.8875547228970404,0.015403832953633128,0.770812592240372,0.020632916505653236,-0.023430084787398164,0.007451988157529891,-0.05165028501643672,0.006682907770483375,0.24535758199635893,0.0015278650680556893
DS-B,PCA,5,KDEBayes,0.6307206842845049,0.01695099233843254,0.3754614382140568,0.019449349312368802,-0.08350298601310777,0.029359088264039563,-0.06905342417759078,0.03667636653960478,0.0010086980182677507,0.0016732960939407349
