dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,Ensembleunar,5,QDA,3,0.8785324409920214,0.7568064721827924,-0.025909186656269956,-0.04963254327320843,0.9044416276482914,0.8064390154560008,2666.1710359510034,0.0006302670808508992,0.002226111013442278,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,ShrinkageLDA,3,0.8448035654233756,0.7173714611515788,0.003913539961345136,0.011892840370109958,0.8408900254620305,0.7054786207814688,2666.1710359510034,0.001816773903556168,0.0051801970694214106,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,LogRegL2,3,0.8455537529702624,0.7163174695302877,-0.00014042919596890524,-0.016646829537891983,0.8456941821662313,0.7329642990681797,2666.1710359510034,0.06157383997924626,0.12188089592382312,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,KDEBayes,3,0.9020395492961911,0.8070031993953328,0.18783883162908965,0.3512239304142454,0.7142007176671015,0.45577926898108745,2666.1710359510034,0.001746248104609549,0.004969410947524011,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,MLP,4,0.980484037265474,0.9555630273690265,0.0448929966481767,0.09217371634625593,0.9355910406172973,0.8633893110227706,2667.4483800500166,3.8591849280055612,3.7996920729056,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,HGBT,4,0.9490685479251587,0.8905001426983989,-0.005606081323286438,-0.014319535814840356,0.9546746292484452,0.9048196785132393,2667.4483800500166,0.2457040670560673,0.24832258000969887,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,SVM_linear,4,0.8355832800564673,0.719346146010978,0.0031707434247724153,-0.008925249862249407,0.8324125366316949,0.7282713958732274,2667.4483800500166,0.7214588039787486,1.6709031750215217,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,SVM_rbf,4,0.9416036275078621,0.8949439509043199,0.037293190292647105,0.06120175761314106,0.904310437215215,0.8337421932911788,2667.4483800500166,0.49161030794493854,0.9456701390445232,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,KNN,4,0.940498671465896,0.853472083330087,0.1586351021252851,0.3022075821337614,0.781863569340611,0.5512645011963255,2667.4483800500166,0.0015623890794813633,0.00027101405430585146,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,GaussianNB,4,0.7824862619595786,0.5690341141535797,-0.01582415308260554,-0.01795808445585889,0.7983104150421841,0.5869921986094386,2667.4483800500166,0.0006326219299808145,0.0011349930427968502,5,"5,6,9,18,25"
