fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"240,244,266,376,492,512,764,779,896,1422,1581,1634,1771,1883",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"42,71,240,248,266,492,821,1041,1066,1581,1633,1678,1771,1872",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,244,248,266,364,376,492,764,1422,1581,1634,1770,1872,1916",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_03_eta.csv
4,56.0,6.0,1.0,0.0,1.0,14.0,"13,410,512,575,801,963,1041,1255,1405,1634,1771,1835,1883,1959",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.5,0.5,0.5714285714285714,14.0,"46,390,398,410,488,514,738,811,993,1325,1548,1633,1667,1678",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"66,248,266,285,376,492,512,738,805,1284,1324,1422,1770,1883",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_06_eta.csv
7,56.0,6.0,1.0,0.0,1.0,14.0,"364,376,418,512,626,779,896,1059,1259,1333,1634,1770,1771,1883",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,285,376,492,560,580,1410,1422,1634,1673,1729,1883,1896,1916",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"136,244,248,266,376,492,624,764,891,896,1493,1634,1770,1842",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_09_eta.csv
10,56.0,6.0,1.0,0.0,1.0,14.0,"186,244,266,285,492,618,764,1057,1548,1770,1771,1872,1934,1959",results_colon_cv_seed42_2_200_2_64_5000_0.25/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_2_200_2_64_5000_0.25/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.8523809523809524,0.14761904761904762,0.813809523809524,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.1656431155326294,0.1656431155326294,0.1880058055423063,0.0,,,,
