dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PLS,15,MLP,2,0.9595711735815727,0.9073053473866796,0.02382861725283547,0.05420570106250622,0.9357425563287373,0.8530996463241733,0.005422868067398667,6.065376768936403,3.785640503047034,,
DS-B,PLS,15,HGBT,2,0.9524351531232562,0.9012897537255365,-0.010583926769869745,-0.01502080060322597,0.963019079893126,0.9163105543287625,0.005422868067398667,0.3598799459869042,0.2874318390386179,,
DS-B,PLS,15,SVM_linear,2,0.8422832309062488,0.736768231039888,-0.00013303818565479908,-0.006899132849440992,0.8424162690919036,0.743667363889329,0.005422868067398667,1.1548029109835625,1.711713345022872,,
DS-B,PLS,15,SVM_rbf,2,0.9433109508904319,0.8767529269322374,0.023858181294091896,0.026877396481459148,0.91945276959634,0.8498755304507782,0.005422868067398667,0.6414878859650344,0.9392605159664527,,
DS-B,PLS,15,KNN,2,0.8956315433538189,0.7587186485920474,0.0980306653017936,0.1731053260566463,0.7976008780520253,0.5856133225354011,0.005422868067398667,0.002888750983402133,0.00030360801611095667,,
DS-B,PLS,15,GaussianNB,2,0.8490755693849571,0.7293882866738773,0.0640246268463669,0.1414154554068513,0.7850509425385902,0.587972831267026,0.005422868067398667,0.0008653309196233749,0.0017259259475395083,,
DS-B,PLS,15,QDA,2,0.9170359092236113,0.8422606636361699,-0.0043643915905084985,0.011357309563897133,0.9214003008141198,0.8309033540722728,0.005422868067398667,0.0015661970246583223,0.0049664200050756335,,
DS-B,PLS,15,ShrinkageLDA,2,0.8502655220455361,0.7252616403912916,-0.0013082088256054503,-0.0014245546742890358,0.8515737308711415,0.7266861950655806,0.005422868067398667,0.003482719068415463,0.0061098369769752026,,
DS-B,PLS,15,LogRegL2,2,0.8473349864559736,0.7292354940861548,-0.00263859068215333,-0.007581142261670948,0.8499735771381269,0.7368166363478258,0.005422868067398667,0.0433938920032233,0.260254557011649,,
DS-B,PLS,15,KDEBayes,2,0.9030816817504869,0.7951907139554917,0.16971237883362467,0.33331295037614955,0.7333693029168622,0.4618777635793421,0.005422868067398667,0.00314119691029191,0.009052315959706903,,
