fold,train_size,test_size,n_selected,selected_indices,fit_size_inner,par_size_inner,ckpt_size_inner,best_epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,S_ckpt,F12_ckpt,G12_ckpt,S_test,F12_test,G12_test,a1_test,a2_test,b1_test,b2_test,decided_count,conflict_count,reject_count,wrong_exclusive_count,correct_exclusive_count,coverage,conflict_rate,reject_rate,wrong_exclusive_rate,correct_exclusive_rate,selective_accuracy,selective_error,selective_f1,conservative_accuracy,conservative_error
1,55.0,7.0,14.0,"13,137,244,266,376,492,512,779,1041,1109,1615,1634,1770,1771",33.0,11.0,11.0,245.0,0.24904322624206543,0.04227893054485321,0.25,0.5877512636652169,0.5877512636652169,0.0,0.8566533409480298,0.8566533409480298,0.0,0.9995002498750625,0.9995002498750625,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,55.0,7.0,14.0,"46,266,439,738,779,991,1041,1066,1422,1581,1634,1678,1771,1893",33.0,11.0,11.0,30.0,0.48571279644966125,0.4938846528530121,0.25,0.7995025317580172,0.7995025317580172,0.0,0.7995025317580172,0.7995025317580172,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,2.0,2.0,3.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.5,0.5,0.0,0.14285714285714285,0.8571428571428572
3,56.0,6.0,14.0,"244,248,266,364,492,570,764,779,939,1230,1581,1770,1838,1872",33.0,11.0,12.0,235.0,0.5004293322563171,0.4478466808795929,0.25,0.5877512636652169,0.5877512636652169,0.0,0.6813226744186047,0.6813226744186047,0.0,0.39968025579536376,0.39968025579536376,0.0,1.0,0.25,0.0,0.25,4.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.75,0.25,0.8,0.5,0.5
4,56.0,6.0,14.0,"77,410,575,963,1057,1167,1209,1405,1770,1771,1835,1883,1886,1959",33.0,11.0,12.0,45.0,0.2771134674549103,0.5488005876541138,0.25,0.4610419548178884,0.4610419548178884,0.0,0.6813226744186047,0.6813226744186047,0.0,0.39968025579536376,0.39968025579536376,0.0,1.0,0.25,0.0,0.25,4.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.75,0.25,0.8,0.5,0.5
5,56.0,6.0,14.0,"46,390,398,410,488,514,738,811,1057,1066,1318,1325,1634,1892",33.0,11.0,12.0,35.0,0.39082038402557373,0.3960810601711273,0.25,0.7312079555425562,0.7312079555425562,0.0,0.5995203836930456,0.5995203836930456,0.0,0.4995004995004996,0.4995004995004996,0.0,0.5,0.5,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5
6,56.0,6.0,14.0,"66,248,266,285,376,492,560,779,917,1209,1324,1422,1771,1883",33.0,11.0,12.0,220.0,0.06347125768661499,0.36530622839927673,0.25,0.6481581505887437,0.6481581505887437,0.0,0.7687576875768758,0.7687576875768758,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.0,0.0,5.0,0.0,1.0,1.0,4.0,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8,0.19999999999999996,0.6666666666666666,0.6666666666666666,0.33333333333333337
7,56.0,6.0,14.0,"285,364,512,779,1059,1581,1634,1667,1678,1760,1770,1771,1883,1981",33.0,11.0,12.0,115.0,0.14388476312160492,0.3858336806297302,0.25,0.6481581505887437,0.6481581505887437,0.0,0.6813226744186047,0.6813226744186047,0.0,0.39968025579536376,0.39968025579536376,0.0,1.0,0.25,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5
8,56.0,6.0,14.0,"13,285,376,452,492,494,560,580,801,1072,1257,1285,1422,1883",33.0,11.0,12.0,35.0,0.48602986335754395,0.5800979733467102,0.25,0.8328475056217207,0.8328475056217207,0.0,0.6813226744186047,0.6813226744186047,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,4.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.75,0.25,0.0,0.5,0.5
9,56.0,6.0,14.0,"136,244,248,266,364,376,492,624,1059,1259,1422,1465,1634,1770",33.0,11.0,12.0,135.0,0.532738983631134,0.533674955368042,0.25,0.5328360197149328,0.5328360197149328,0.0,0.7495003331112592,0.7495003331112592,0.0,0.39968025579536376,0.39968025579536376,0.0,1.0,0.25,0.0,0.0,4.0,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5,0.75,0.25,0.8,0.5,0.5
10,56.0,6.0,14.0,"137,140,285,492,678,764,1057,1146,1255,1770,1771,1872,1934,1959",33.0,11.0,12.0,150.0,0.26246196031570435,0.01325288787484169,0.25,0.7995025317580172,0.7995025317580172,0.0,0.8071955719557196,0.8071955719557196,0.0,0.6662225183211193,0.6662225183211193,0.0,0.5,1.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.6666666666666666,0.8333333333333334,0.16666666666666663
