fold,train_size,test_size,n_selected,selected_indices,fit_size_inner,par_size_inner,ckpt_size_inner,best_epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,S_ckpt,F12_ckpt,G12_ckpt,S_test,F12_test,G12_test,a1_test,a2_test,b1_test,b2_test,decided_count,conflict_count,reject_count,wrong_exclusive_count,correct_exclusive_count,coverage,conflict_rate,reject_rate,wrong_exclusive_rate,correct_exclusive_rate,selective_accuracy,selective_error,selective_f1,conservative_accuracy,conservative_error
1,55.0,7.0,14.0,"240,244,266,376,492,512,764,779,896,1422,1581,1634,1729,1771",33.0,11.0,11.0,245.0,0.1573566496372223,0.24630200862884521,1.0,0.6481581505887437,0.6481581505887437,0.0,0.8328475056217207,0.8328475056217207,0.0,0.5709391949757352,0.5709391949757352,0.0,0.6666666666666666,0.5,0.0,0.25,4.0,1.0,2.0,0.0,4.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,1.0,0.0,1.0,0.5714285714285714,0.4285714285714286
2,55.0,7.0,14.0,"42,240,248,266,492,512,821,896,1041,1066,1422,1581,1633,1771",33.0,11.0,11.0,45.0,0.35340479016304016,0.6775147318840027,1.0,0.7995025317580172,0.7995025317580172,0.0,0.7312079555425562,0.7312079555425562,0.0,0.3632401017072285,0.3632401017072285,0.0,0.6666666666666666,0.25,0.0,0.5,3.0,2.0,2.0,0.0,3.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,1.0,0.0,1.0,0.42857142857142855,0.5714285714285714
3,56.0,6.0,14.0,"13,244,248,266,364,376,492,764,779,1422,1581,1634,1872,1916",33.0,11.0,12.0,90.0,0.46315377950668335,0.6861870884895325,1.0,0.4610419548178884,0.4610419548178884,0.0,0.6813226744186047,0.6813226744186047,0.0,0.6662225183211193,0.6662225183211193,0.0,1.0,0.5,0.0,0.25,4.0,1.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337
4,56.0,6.0,14.0,"13,266,410,512,575,801,963,1255,1405,1634,1771,1835,1883,1899",33.0,11.0,12.0,205.0,0.07243046164512634,0.32617297768592834,1.0,0.5328360197149328,0.5328360197149328,0.0,0.8566533409480298,0.8566533409480298,0.0,-0.6662225183211193,0.0,0.6662225183211193,0.0,0.25,1.0,0.5,1.0,4.0,1.0,0.0,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0,0.0,0.16666666666666666,0.8333333333333334
5,56.0,6.0,14.0,"46,390,398,410,488,514,624,738,811,993,1325,1548,1633,1678",33.0,11.0,12.0,50.0,0.3012944459915161,0.5665343403816223,1.0,0.3153247845280639,0.3153247845280639,0.0,0.6813226744186047,0.6813226744186047,0.0,0.33288948069241014,0.33288948069241014,0.0,0.5,0.25,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667
6,56.0,6.0,14.0,"66,244,248,266,285,376,492,512,738,805,811,1284,1422,1883",33.0,11.0,12.0,75.0,0.23306263983249664,0.41460251808166504,1.0,0.8566533409480298,0.8566533409480298,0.0,0.37462537462537465,0.37462537462537465,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.0,0.25,4.0,1.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337
7,56.0,6.0,14.0,"137,364,376,418,512,779,891,896,1059,1333,1634,1770,1771,1883",33.0,11.0,12.0,155.0,0.09848648309707642,0.47723883390426636,1.0,0.5328360197149328,0.5328360197149328,0.0,0.5995203836930456,0.5995203836930456,0.0,0.8566533409480298,0.8566533409480298,0.0,1.0,0.75,0.0,0.0,5.0,0.0,1.0,0.0,5.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.8333333333333334,1.0,0.0,1.0,0.8333333333333334,0.16666666666666663
8,56.0,6.0,14.0,"13,248,285,376,492,560,580,1257,1324,1410,1493,1634,1883,1896",33.0,11.0,12.0,145.0,0.0683615654706955,0.48237481713294983,1.0,0.8328475056217207,0.8328475056217207,0.0,0.4995559502664299,0.4995559502664299,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5
9,56.0,6.0,14.0,"136,244,248,266,344,376,492,624,764,891,896,1493,1634,1842",33.0,11.0,12.0,235.0,0.21641848981380463,0.8331820368766785,1.0,0.3631741420010895,0.3631741420010895,0.0,0.39968025579536376,0.39968025579536376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,0.5,0.0,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.33333333333333337,0.8,0.3333333333333333,0.6666666666666667
10,56.0,6.0,14.0,"186,244,266,285,492,678,764,1057,1548,1581,1770,1771,1872,1959",33.0,11.0,12.0,75.0,0.4323544502258301,0.17347204685211182,1.0,0.8566533409480298,0.8566533409480298,0.0,0.9328358208955224,0.9328358208955224,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.0,0.25,4.0,1.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337
