feature_index,eta
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0003530288490877609
7,0.0
8,0.00038699439189427543
9,0.0
10,0.0
11,0.0
12,0.0005811481441667603
13,0.0011651180552011769
14,0.005036606299769399
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.00030898899430926926
25,0.0030133650492729937
26,0.0
27,0.0
28,0.0
29,0.00047516328963522164
30,0.004676620459722347
31,0.0
32,0.00038975264247669873
33,0.0004293497848246231
34,0.0
35,0.000680651429676428
36,0.00042999648794741704
37,0.0
38,0.0
39,0.003018163253401582
40,0.0
41,0.0
42,0.0
43,0.0015617111832017406
44,0.0
45,0.0
46,0.0
47,0.0024607017825208043
48,0.005619799735179935
49,0.0006156008504123377
50,0.0007898695417128267
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0003790191978896881
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0017662314807801148
66,0.0016847011253222687
67,0.00028555644539318074
68,0.0
69,0.003208579351212439
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0024851730669451567
77,0.0
78,0.001069284780127997
79,0.0
80,0.0
81,0.0
82,0.0024932927595042857
83,0.0
84,0.0
85,0.0010826457966990096
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0005330746315318535
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0004664478251032147
100,0.0
101,0.0015896560054371872
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.00041283754444302673
108,0.0006088070407859009
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0019589645980437405
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.00043275304604301453
121,0.0004788504518978623
122,0.0
123,0.0
124,0.0
125,0.0011770069702891734
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0009933178676705464
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.001592153018189023
141,0.0
142,0.0010536943067426432
143,0.0
144,0.0
145,0.0
146,0.0
147,0.00039758810361232655
148,0.0
149,0.0
150,0.008289373441689918
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0008257465423773788
161,0.0
162,0.0032372266845511906
163,0.0005001525423391451
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0005005726408658847
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0008952245352308183
179,0.0013860022382650133
180,0.0
181,0.0
182,0.0009274627196525484
183,0.0
184,0.0
185,0.0014421195095911032
186,0.0005811481441667603
187,0.0038537705718640018
188,0.0005811481441667603
189,0.0
190,0.0007425190008753054
191,0.00045921664944642755
192,0.0
193,0.0
194,0.00037663319932211363
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0011660799524499772
203,0.001099521594661308
204,0.0002704665446157611
205,0.0
206,0.0
207,0.0004228161221175673
208,0.0008001917740755928
209,0.0
210,0.0005010349598082413
211,0.0
212,0.0
213,0.0
214,0.0
215,0.00024060119335842336
216,0.00019495161578792712
217,0.0
218,0.0
219,0.000376260606618327
220,0.003845065731900584
221,0.0
222,0.0047512597672609265
223,0.0005811481441667603
224,0.0029698411420978296
225,0.0015064183244240792
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.00028824496353726197
236,0.0
237,0.0
238,0.00047188175977168253
239,0.0
240,0.006030996308248447
241,0.0
242,0.0003756257639590814
243,0.0
244,0.025962421803788393
245,0.0
246,0.0
247,0.0
248,0.012759297508507761
249,0.0
250,0.0015483030498816862
251,0.0
252,0.0008292338738640626
253,0.0
254,0.00024504980863276075
255,0.0
256,0.0004104196700509951
257,0.0
258,0.00026273227261263614
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.058100343550285906
267,0.00048727836236504856
268,0.0002855960118650296
269,0.0
270,0.00017050156654131135
271,0.0
272,0.0
273,0.0
274,0.0004905695419766947
275,0.0005811481441667603
276,0.0
277,0.00037708680957693864
278,0.0
279,0.0007966799817651134
280,0.0
281,0.0
282,0.0003893879237760348
283,0.0
284,0.0
285,0.017889958710734795
286,0.0
287,0.0
288,0.0022274205770382023
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.002790273302284012
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.001601667406307388
307,0.0002919561844569913
308,0.0
309,0.0
310,0.0
311,0.0003416699010407788
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0009944933320472974
321,0.0
322,0.0
323,0.002114478186660515
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.00042894017439044826
332,0.0
333,0.0
334,0.0027365557569244414
335,0.0
336,0.0
337,0.0038823431029922258
338,0.0014780484157813755
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0034117757545795943
348,0.0
349,0.0
350,0.0
351,0.0
352,0.001423608104273598
353,0.0
354,0.0
355,0.0006435970010598057
356,0.0
357,0.0
358,0.0
359,0.0011341253385447657
360,0.0027421782395746458
361,0.0004435727825932569
362,0.0006061508363750505
363,0.0
364,0.006453079592510991
365,0.0
366,0.0
367,0.0
368,0.0003609135931820131
369,0.0
370,0.010960640797548814
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0644599621828847
377,0.0
378,0.0008352066293975518
379,0.0
380,0.0005233805053352606
381,0.0
382,0.0005112008090055487
383,0.0023735104077148104
384,0.0
385,0.0009680857103631425
386,0.0004994850168525492
387,0.0
388,0.0
389,0.0
390,0.002393497989158196
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.00041657145953986956
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.00038945708823141974
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0003431648730919921
412,0.0
413,0.0
414,0.0005811481441667603
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0006586631342799632
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0008785559218811379
428,0.0
429,0.0
430,0.0008470834331074442
431,0.0
432,0.0
433,0.0
434,0.00029229972358236925
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.001616984112075122
445,0.0009620411936666064
