epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,a1_par,a2_par,b1_par,b2_par,S_ckpt,F12_ckpt,G12_ckpt,a1_ckpt,a2_ckpt,b1_ckpt,b2_ckpt,coverage_ckpt,reject_rate_ckpt,conflict_rate_ckpt,wrong_exclusive_rate_ckpt,selective_accuracy_ckpt,conservative_accuracy_ckpt
5,0.7174208164215088,0.4525492787361145,0.25,0.2440546702567387,0.3474031613687685,0.41339396444811916,0.25,0.5714285714285714,0.75,0.2857142857142857,0.3457814661134163,0.4610419548178884,0.4610419548178884,0.5,0.42857142857142855,0.5,0.42857142857142855,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.0,1.0,0.45454545454545453
10,0.31311243772506714,0.5564504861831665,0.25,0.4610419548178884,0.4610419548178884,0.0,0.5,0.42857142857142855,0.5,0.0,0.15288071037700238,0.2397315007191945,0.3474031613687685,0.75,0.14285714285714285,0.25,0.5714285714285714,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.0,1.0,0.36363636363636365
15,0.26689454913139343,0.8511732816696167,0.25,0.544992127891486,0.544992127891486,0.0,0.75,0.42857142857142855,0.25,0.0,-0.08685079034219212,0.0,0.3474031613687685,0.75,0.0,0.25,0.5714285714285714,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.6,0.2727272727272727
20,0.28681546449661255,0.6816596388816833,0.25,0.544992127891486,0.544992127891486,0.0,0.75,0.42857142857142855,0.25,0.0,0.44409903408460094,0.44409903408460094,0.0,1.0,0.2857142857142857,0.0,0.42857142857142855,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.0,1.0,0.5454545454545454
25,0.39321252703666687,0.8037410378456116,0.25,0.599580293794344,0.599580293794344,0.0,1.0,0.42857142857142855,0.0,0.0,0.44409903408460094,0.44409903408460094,0.0,1.0,0.2857142857142857,0.0,0.42857142857142855,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.0,1.0,0.5454545454545454
30,0.3514050543308258,0.8126567006111145,0.25,0.599580293794344,0.599580293794344,0.0,1.0,0.42857142857142855,0.0,0.0,0.44409903408460094,0.44409903408460094,0.0,1.0,0.2857142857142857,0.0,0.42857142857142855,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.0,1.0,0.5454545454545454
35,0.31413695216178894,0.6542317271232605,0.25,0.599580293794344,0.599580293794344,0.0,1.0,0.42857142857142855,0.0,0.0,0.7268102116834741,0.7268102116834741,0.0,1.0,0.5714285714285714,0.0,0.2857142857142857,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.0,1.0,0.7272727272727273
40,0.10690338909626007,0.6658879518508911,0.25,0.599580293794344,0.599580293794344,0.0,1.0,0.42857142857142855,0.0,0.0,0.44409903408460094,0.44409903408460094,0.0,1.0,0.2857142857142857,0.0,0.5714285714285714,0.6363636363636364,0.0,0.36363636363636365,0.09090909090909091,0.8571428571428571,0.5454545454545454
45,0.2013988196849823,0.3105798065662384,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.25,0.0,0.3457814661134163,0.4610419548178884,0.4610419548178884,0.5,0.42857142857142855,0.5,0.42857142857142855,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.0,1.0,0.45454545454545453
50,0.17574180662631989,0.28787827491760254,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.25,0.0,0.46616093175947004,0.544992127891486,0.3153247845280639,0.75,0.42857142857142855,0.25,0.42857142857142855,0.6363636363636364,0.0,0.36363636363636365,0.09090909090909091,0.8571428571428571,0.5454545454545454
55,0.27143174409866333,0.3946347236633301,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.25,0.0,0.581615696503037,0.6481581505887437,0.2661698163428267,0.75,0.5714285714285714,0.25,0.2857142857142857,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.0,1.0,0.6363636363636364
60,0.17191742360591888,0.3552364110946655,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.25,0.0,0.46616093175947004,0.544992127891486,0.3153247845280639,0.75,0.42857142857142855,0.25,0.42857142857142855,0.6363636363636364,0.0,0.36363636363636365,0.09090909090909091,0.8571428571428571,0.5454545454545454
65,0.166140615940094,0.3587225377559662,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.25,0.0,0.581615696503037,0.6481581505887437,0.2661698163428267,0.75,0.5714285714285714,0.25,0.2857142857142857,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.0,1.0,0.6363636363636364
70,0.17976240813732147,0.2811461091041565,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.0,0.0,0.581615696503037,0.6481581505887437,0.2661698163428267,0.75,0.5714285714285714,0.25,0.2857142857142857,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.0,1.0,0.6363636363636364
75,0.17399221658706665,0.2616904675960541,0.25,0.6481581505887437,0.6481581505887437,0.0,0.75,0.5714285714285714,0.0,0.0,0.6858688187997198,0.7312079555425562,0.18135654697134565,0.75,0.7142857142857143,0.25,0.14285714285714285,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.0,1.0,0.7272727272727273
